Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Comment,Status Category
Verify for pop up of personal calendar agenda in personal agenda for a day.,EL-48,10063,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 10:26 AM,07/Sep/21 9:15 AM,08/Sep/21 8:42 AM,07/Sep/21 8:39 AM,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000b7:,,EL Sprint 1,,,,,,,,,Done
Verify that in clicking on 'Day' Toolbar in  personal Agenda option a calendar by Day widget should open.,EL-47,10062,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 10:13 AM,07/Sep/21 8:39 AM,09/Sep/21 5:13 AM,07/Sep/21 8:39 AM,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000az:,,EL Sprint 1,,,,,,,,,Done
"As a user I want to check calendar by day, So That I can successfully make my schedule For a particular Day.",EL-46,10061,Story,Block,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 9:50 AM,08/Sep/21 6:37 PM,08/Sep/21 6:22 PM,,,0,"*AS A* User (Student)

*I WANT* to check for a Calendar by Day Functionality in personal Agenda.

*SO THAT* I can successfully make my schedule in a particular Day.

*SCOPE*

* Build a Calendar by Day Page in Personal Agenda.
* User should able to see the calendar by Week page.
* It should work in all browsers.
* It should also work in mobile.



*Pre Conditions*

* User should have logged in the _E-learning Website_.
* User should have to select the Personal Agenda option in Elearning website.
* User should have selected _day_ option in personal agenda

 

*_Acceptance Criteria_*

# Given that I am a registered user and Logged in Elearning Website. If I go to the personal Agenda page and if I click on any date in calendar by Day option then personal calendar pop up option should be accessible.",,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,EL-51,,EL-47,EL-48,EL-49,EL-50,EL-52,EL-54,EL-55,EL-56,EL-57,,,,,,,,,,,,{},,EL-1,,,,,0|i000ar:,,EL Sprint 1,,,,,,,,,In Progress
Verifying the 'All day' checkbox is working or not.,EL-45,10060,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 9:31 AM,07/Sep/21 8:37 AM,09/Sep/21 5:13 AM,07/Sep/21 8:37 AM,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i00063:,,EL Sprint 1,,,,,,,,,Done
Verifying the 'Toolbar' agenda Available in personal Agenda.,EL-44,10059,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 9:17 AM,08/Sep/21 7:40 PM,08/Sep/21 6:58 PM,07/Sep/21 7:43 AM,,0,"User Navigates for the button options available in personal agenda that they can their view for a calendar 

* Calendar by Month
* Calendar by week
* Calendar by Date
* And the last button option is for agenda list which gives the list of the personal agenda saved by the user.",,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0002v:i,,EL Sprint 1,,,,,,,,,Done
Verifying the header toolbar in personal agenda,EL-43,10058,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 9:08 AM,08/Sep/21 7:41 PM,08/Sep/21 7:40 PM,07/Sep/21 7:51 AM,,0,"In this header toolbar options 

User navigates for the options available

* Calendar
* Agenda List
* Session Plan Calendar.",,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0002w:i,,EL Sprint 1,,,,,,,,,Done
Verify the data time in calendar by week ,EL-42,10057,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 9:01 AM,07/Sep/21 8:39 AM,09/Sep/21 5:13 AM,07/Sep/21 8:39 AM,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000aj:,,EL Sprint 1,,,,,,,,,Done
Verify the agenda Week view for a week,EL-41,10056,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 8:55 AM,07/Sep/21 8:39 AM,07/Sep/21 10:30 AM,07/Sep/21 8:39 AM,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000ab:,,EL Sprint 1,,,,,,,,,Done
Verify the Description by Hover on the the Date in a Calendar by Week..,EL-40,10055,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 8:44 AM,07/Sep/21 8:39 AM,09/Sep/21 5:13 AM,07/Sep/21 8:39 AM,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000a3:,,EL Sprint 1,,,,,,,,,Done
Verify that 'Add' button  is Saving the Personal Calendar Agenda for a Week Without entering the 'Title' or 'Description'. ,EL-39,10054,Bug,To Do,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 4:04 AM,07/Sep/21 12:16 PM,07/Sep/21 12:15 PM,,,0,"1. Go to the *_e_Learning Website._*
2. Go to personal agenda and select for calendar by Day option.
3. Go to the personal calendar agenda by clicking on date
4. Click on  'Add' button  save the Personal calendar  with or without  title as well as description.

Expected Result:- Add button should save the personal Calendar agenda with a Title or Description.

Actual result :- Add Button can  save the personal calendar *without entering* any title or description.",Browser : Chrome version 43.,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,EL-37,,,,,,,,,,,,,,06/Sep/21 4:04 AM;ug:04b627af-7f1d-494b-bc4c-42af51646025;Untitled.jpg;https://corporateola123456.atlassian.net/secure/attachment/10001/Untitled.jpg,,,,,,{},,,,,,,0|i0009r:,,EL Sprint 1,,,,,,,,,To Do
Verify 'Delete' Option for saved personal calendar agenda in calendar by week.,EL-38,10053,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 3:53 AM,07/Sep/21 8:38 AM,09/Sep/21 5:13 AM,07/Sep/21 8:38 AM,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0009v:,,EL Sprint 1,,,,,,,,,Done
